"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","23603","Multiple user types can access the dashboard","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:38 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","18559","Validate user API returns 200 and correct data","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:33 UTC 2026","","API Health and Data Integrity","Validate user API returns 200 and correct data",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","1025","Add and then remove an item from the cart","","Fri Feb 20 22:07:49 UTC 2026","passed","Fri Feb 20 22:07:50 UTC 2026","","Inventory Page Functionality","Add and then remove an item from the cart",""
"","24003","Add a backpack to the cart","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:38 UTC 2026","","Shopping Cart Functionality","Add a backpack to the cart",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3670","Failed login with invalid credentials","","Fri Feb 20 22:07:38 UTC 2026","passed","Fri Feb 20 22:07:42 UTC 2026","","Login Functionality","Failed login with invalid credentials",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","24047","Add multiple items to the cart","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:38 UTC 2026","","Inventory Page Functionality","Add multiple items to the cart",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","27756","Multiple user types can access the dashboard","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:42 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","23982","Add a single item to the cart","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:38 UTC 2026","","Inventory Page Functionality","Add a single item to the cart",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3555","Login with multiple user types","","Fri Feb 20 22:07:38 UTC 2026","passed","Fri Feb 20 22:07:42 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to add, remove, and purchase products from the inventory
  So that I can complete the full shopping flow","4927","Navigate to checkout after adding an item","","Fri Feb 20 22:07:33 UTC 2026","passed","Fri Feb 20 22:07:38 UTC 2026","","Inventory Page Functionality","Navigate to checkout after adding an item",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3780","Login with multiple user types","","Fri Feb 20 22:07:38 UTC 2026","passed","Fri Feb 20 22:07:42 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","3967","Login with multiple user types","","Fri Feb 20 22:07:38 UTC 2026","passed","Fri Feb 20 22:07:42 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","23710","Multiple user types can access the dashboard","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:38 UTC 2026","","Dashboard Functionality","Multiple user types can access the dashboard",""
"  As a QA Engineer
  I want to validate backend API endpoints
  So that I can confirm data integrity independently of the UI","18560","Validate users list endpoint returns multiple records","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:33 UTC 2026","","API Health and Data Integrity","Validate users list endpoint returns multiple records",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","8263","Login with multiple user types","","Fri Feb 20 22:07:38 UTC 2026","passed","Fri Feb 20 22:07:47 UTC 2026","","Login Functionality","Login with multiple user types",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","21569","Direct URL access without login redirects to login page","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:36 UTC 2026","","Dashboard Functionality","Direct URL access without login redirects to login page",""
"  As a logged in user
  I want to verify the dashboard state and navigation
  So that I can confirm the application behaves correctly after login","23789","User can logout from the dashboard","","Fri Feb 20 22:07:14 UTC 2026","passed","Fri Feb 20 22:07:38 UTC 2026","","Dashboard Functionality","User can logout from the dashboard",""
"  As a user of the SauceDemo application
  I want to log in with different accounts
  So that I can access the product features","4848","Successful login with valid credentials","","Fri Feb 20 22:07:36 UTC 2026","passed","Fri Feb 20 22:07:41 UTC 2026","","Login Functionality","Successful login with valid credentials",""
